name,decimallongitude,decimallatitude,city,country,address,source,type,geocoding.precision.m,geocoding.issue,geocoding.source,inside.ptoected.area.WDPAID
Pitcairn,-128.3242,-24.3768,NA,NA,  ,grbioorg,NA,1e3,NA,AH,12896
Anguilla National Trust,-63.134,18.187,NA,NA,  ,grbioorg,NA,1e3,insecure_institution_quality,AH,NA
Cayman Islands,-81.2546,19.3133,NA,NA,  ,grbioorg,NA,1e3,NA,AH,NA
Instituto Nacional de Investigacion y Desarrollo Pesquero,-57.535,-38.03,NA,NA,Paseo Victoria s/n Mar del Plata,grbioorg,NA,1e3,NA,HF,NA
Microbial Observatory of the Laboratoire Arago,3.1355,42.4798,NA,NA,"Observatoire Oceanologiqe de Banyuls sur mer BP 44, Av du Fontaule 66651 Banyuls sur Mer cedex",grbioorg,NA,1e3,NA,HF,555526770
Monserrat National Trust,-62.2048,16.8039,NA,NA,NA,grbioorg,NA,1e3,NA,HF,NA
"University of KwaZulu-Natal, Westville campus, School of Biological  Conservation Sciences",30.9792,-29.8665,"NA",NA,NA,indexherbariorum,Herbarium,1e3,general_institution,JA,NA
" University of Puget Sound, James R Slater Museum of Natural History ",-122.4828,47.2637,NA,NA,NA,grbioorg,Museum,10,NA,StS,NA
" Universidad de Magallanes, Instituto de la Patagonia (Chile)",-70.8841,-53.1318,NA,NA,NA,grbioorg,University,10,NA,StS,NA
"Bermuda Aquarium, Museum and Zoo",-64.7402,32.3276,NA,NA,NA,grbioorg,Museum,1e3,NA,TA,NA
Tristan da Cunha,-12.2777,-37.1052,NA,NA,  ,grbioorg,NA,10,NA,automatic,NA
Zonguldak Karaelmas University,31.7621,41.4512,NA,NA,  ,grbioorg,University,10,NA,automatic,NA
Friends of the Chagos,71.5,-6,NA,NA,  ,grbioorg,NA,10,NA,automatic,555512151
Museo de Mar del Plata (Argentina),-57.5426,-38.0055,NA,NA,  ,grbioorg,NA,10,NA,automatic,NA
Azerbaijan National Academy of Sciences Mardakan Dendrary,50.162129,40.4891638,baku,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Leon Levy Native Plant Preserve,-76.212413,25.1880977,Governors Harbour,NA,NA,BCGI,Botanic_garden,10,NA,automatic,555592588
Andromeda Botanic Gardens,-59.5183354,13.2074844,St Joseph,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Innisfree Farm and Botanic Garden,-124.9520887,49.6347774,Courtenay,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Milner Gardens and Woodland,-124.4147849,49.3536137,Qualicum Beach,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Guldborgsund Zoo  Botanical Garden,11.8909825,54.7664171,Nykoebing,NA,NA,BCGI,Botanic_garden,10,NA,automatic,NA
Jardin d Oiseaux Tropicaux,6.2549971,43.1476577,La Londe-les-Maures,NA,NA,BCGI,Botanic_garden,10,NA,automatic,555559566
