originalPlace	interpretedPlace	longitude	latitude	xmin	xmax	ymin	ymax	uncertainty
'Abitibi Paper Company', 'Sault Sainte Marie, Canada'	Sault Ste. Marie, ON, Canada	-84.3357526	46.5136494	-84.6216575	-84.2259495	46.4528611	46.61062	13678
'Academia Sinica and State Planning Commission, Commission for Integrated Survey of Natural Resources', 'Beijing, China'	Beijing, China	116.4073963	39.9041999	115.4234112	117.514625	39.442758	41.0608157	98753
'Academia Sinica Institute of Oceanology', 'China'	No. 128號, Section 2, Academia Rd, Nangang District, Taipei City, Taiwan 11529	121.6145477	25.0421852	121.6131987	121.6158967	25.0408362	25.0435342	202
'Academia Sinica Institute of Zoology, Taipei', 'Taiwan'	NA	NA	NA	NA	NA	NA	NA	NA
'Academia Sinica, Institute of Botany', 'Shanghai, China'	No. 128號, Section 2, Academia Rd, Nangang District, Taipei City, Taiwan 11529	121.6145477	25.0421852	121.6131987	121.6158967	25.0408362	25.0435342	202
'Academia Sinica, Institute of Botany', 'Shanghai, China'	Shanghai, China	121.4737021	31.2303904	120.8397067	122.2471487	30.6755932	31.8727163	86332
'Academie imperial des Sciences', 'France'	23 Quai de Conti, 75006 Paris, France	2.3368827	48.8572759	2.3355337	2.3382317	48.8559269	48.8586249	180
'Academy of Military Medical Sciences', 'Beijing, China'	Beijing, China	116.4073963	39.9041999	115.4234112	117.514625	39.442758	41.0608157	98753
'Academy of Military Medical Sciences, Institute of Pharmacology and Toxicology', 'Beijing, China'	Beijing, China	116.4073963	39.9041999	115.4234112	117.514625	39.442758	41.0608157	98753
'Academy of Sciences  of the Republic of Uzbekistan institute of the Gene pool of plants and Animals', 'Tashkent, Uzbekistan'	70, Тошкент 100047, Uzbekistan	69.2865385	41.3065619	69.2851895	69.2878875	41.3052129	41.3079109	188
'Academy of Sciences, Zoological Institute', 'Russia'	University Embankment, 1, Sankt-Peterburg, Russia, 199034	30.3054559	59.942373	30.3041069	30.3068049	59.941024	59.943722	168
'Aegean Agricultural Research Institute', 'Izmir, Turkey'	Camikebir Mah., Çavuşköyyolu Sokak, No:9, 35660, Turkey	27.042465	38.625438	27.041116	27.043814	38.624089	38.626787	190
